annee,montant_honoraires,montant_honoraires_moyens,type_honoraires_niveau_1
2010,1156571.0,,Actes
2010,311049.0,,Actes
2010,0.0,0.0,Actes
2010,0.0,0.0,Actes
2010,0.0,0.0,Actes
2010,595564.0,,Actes
2010,100.0,,Actes
2010,0.0,0.0,Actes
2010,480.0,,Actes
2010,0.0,0.0,Actes
2010,240.0,,Rémunérations forfaitaires
2010,0.0,0.0,Rémunérations forfaitaires
2010,0.0,0.0,Rémunérations forfaitaires
2010,1330628.0,,Ensemble des honoraires
2010,357653.0,,Actes
2010,46604.0,,Actes
2010,522.0,,Rémunérations forfaitaires
2010,282.0,,Rémunérations forfaitaires
2010,1663.0,,Autres types d'honoraires
2010,171872.0,,Dépassements
2010,798918.0,,Actes
2010,202774.0,,Actes
2010,0.0,0.0,Indemnités de déplacement
2011,0.0,0.0,Actes
2011,0.0,0.0,Actes
2011,,,Actes
2011,0.0,0.0,Actes
2011,0.0,0.0,Actes
2011,485.0,,Rémunérations forfaitaires
2011,200.0,,Rémunérations forfaitaires
2011,1201976.0,,Actes
2011,0.0,0.0,Actes
2011,601452.0,,Actes
2011,225480.0,,Actes
2011,285.0,,Rémunérations forfaitaires
2011,0.0,0.0,Indemnités de déplacement
2011,374924.0,,Actes
2011,326995.0,,Actes
2011,47929.0,,Actes
2011,827052.0,,Actes
2011,0.0,0.0,Actes
2011,0.0,0.0,Rémunérations forfaitaires
2011,0.0,0.0,Rémunérations forfaitaires
2011,1373.0,,Autres types d'honoraires
2011,225891.0,,Dépassements
2011,1429725.0,,Ensemble des honoraires
2012,343673.0,57105.0,Actes
2012,0.0,0.0,Actes
2012,50441.0,10088.0,Actes
2012,772892.0,120492.0,Actes
2012,229336.0,18630.0,Actes
2012,0.0,0.0,Actes
2012,400.0,72.0,Rémunérations forfaitaires
2012,1174.0,66.0,Autres types d'honoraires
2012,230971.0,17362.0,Dépassements
2012,1400410.0,205358.0,Ensemble des honoraires
2012,391.0,78.0,Actes
2012,,,Actes
2012,808.0,154.0,Rémunérations forfaitaires
2012,0.0,0.0,Rémunérations forfaitaires
2012,0.0,0.0,Rémunérations forfaitaires
2012,1167397.0,187763.0,Actes
2012,394505.0,67272.0,Actes
2012,0.0,0.0,Actes
2012,543493.0,101862.0,Actes
2012,0.0,0.0,Actes
2012,0.0,0.0,Actes
2012,408.0,82.0,Rémunérations forfaitaires
2012,60.0,12.0,Indemnités de déplacement
2013,1206585.0,171392.0,Actes
2013,0.0,0.0,Actes
2013,0.0,0.0,Actes
2013,793694.0,110534.0,Actes
2013,578962.0,92176.0,Actes
2013,350.0,58.0,Rémunérations forfaitaires
2013,272065.0,21337.0,Dépassements
2013,412891.0,60858.0,Actes
2013,361613.0,52347.0,Actes
2013,50956.0,8458.0,Actes
2013,214585.0,18335.0,Actes
2013,,,Actes
2013,1085.0,174.0,Rémunérations forfaitaires
2013,46.0,8.0,Indemnités de déplacement
2013,241.0,3.0,Autres types d'honoraires
2013,1480022.0,192914.0,Ensemble des honoraires
2013,,,Actes
2013,0.0,0.0,Actes
2013,,,Actes
2013,0.0,0.0,Actes
2013,735.0,116.0,Rémunérations forfaitaires
2013,0.0,0.0,Rémunérations forfaitaires
2013,0.0,0.0,Rémunérations forfaitaires
2014,419093.0,55980.0,Actes
2014,0.0,0.0,Actes
2014,77.0,13.0,Actes
2014,0.0,0.0,Actes
2014,1917.0,308.0,Rémunérations forfaitaires
2014,875.0,146.0,Rémunérations forfaitaires
2014,0.0,0.0,Rémunérations forfaitaires
2014,,,Indemnités de déplacement
2014,1505622.0,185513.0,Ensemble des honoraires
2014,477522.0,64390.0,Actes
2014,,,Actes
2014,0.0,0.0,Actes
2014,58291.0,8387.0,Actes
2014,568723.0,79039.0,Actes
2014,0.0,0.0,Rémunérations forfaitaires
2014,290.0,,Autres types d'honoraires
2014,255929.0,23026.0,Dépassements
2014,1247467.0,162158.0,Actes
2014,769945.0,97768.0,Actes
2014,201054.0,18713.0,Actes
2014,0.0,0.0,Actes
