specialite,total,moyen
Chirurgiens-dentistes (hors spécialistes d'orthopédie dento-faciale - ODF),905151003.0,474318.0
Masseurs-kinésithérapeutes,449855990.0,145960.0
Ensemble des auxiliaires médicaux,353212557.0,60004.0
Médecins généralistes (hors médecins à expertise particulière - MEP),206431797.0,136087.0
Psychiatres,154425499.0,165928.0
Médecins généralistes à expertise particulière (MEP),153213779.0,459550.0
Chirurgiens,148630199.0,250201.0
Infirmiers,143656961.0,99348.0
Dermatologues,117508214.0,463389.0
Oto-rhino-laryngologistes,80500107.0,580895.0
Hépato-gastro-entérologues,52828048.0,384643.0
Chirurgiens-dentistes spécialistes d'orthopédie dento-faciale (ODF),34348572.0,343689.0
Pneumologues,22877037.0,474539.0
Pédiatres,20694444.0,117101.0
Neurologues,19261510.0,299478.0
Endocrinologues,654161.0,9225.0
